# Time(fs) Population Fitted_Population
8.450000000000000000e+02 1.570799999999999627e-02 2.122172553552233425e-03
8.460000000000000000e+02 1.647599999999999759e-02 2.107189354998476125e-03
8.470000000000000000e+02 1.628199999999999786e-02 2.092311942488615274e-03
8.480000000000000000e+02 1.736199999999999549e-02 2.077539569140260736e-03
8.490000000000000000e+02 1.732799999999999965e-02 2.062871493344250844e-03
8.500000000000000000e+02 1.763199999999999837e-02 2.048306978727415257e-03
8.510000000000000000e+02 1.765199999999999755e-02 2.033845294115601936e-03
8.520000000000000000e+02 1.695799999999999738e-02 2.019485713496982100e-03
8.530000000000000000e+02 1.662199999999999789e-02 2.005227515985590677e-03
8.540000000000000000e+02 1.549399999999999389e-02 1.991069985785148214e-03
8.550000000000000000e+02 1.625599999999999615e-02 1.977012412153112634e-03
8.560000000000000000e+02 1.630999999999999811e-02 1.963054089365010718e-03
8.570000000000000000e+02 1.590599999999999653e-02 1.949194316679003563e-03
8.580000000000000000e+02 1.585599999999999510e-02 1.935432398300702267e-03
8.590000000000000000e+02 1.413799999999999779e-02 1.921767643348250548e-03
8.600000000000000000e+02 1.406999999999999397e-02 1.908199365817624853e-03
8.610000000000000000e+02 1.416999999999999510e-02 1.894726884548209858e-03
8.620000000000000000e+02 1.387599999999999251e-02 1.881349523188595137e-03
8.630000000000000000e+02 1.362799999999999602e-02 1.868066610162617521e-03
8.640000000000000000e+02 1.458199999999999427e-02 1.854877478635656501e-03
8.650000000000000000e+02 1.399599999999999282e-02 1.841781466481145178e-03
8.660000000000000000e+02 1.397799999999999043e-02 1.828777916247340766e-03
8.670000000000000000e+02 1.347999999999999199e-02 1.815866175124314971e-03
8.680000000000000000e+02 1.295399999999999503e-02 1.803045594911175309e-03
8.690000000000000000e+02 1.384999999999999426e-02 1.790315531983536438e-03
8.700000000000000000e+02 1.369799999999999317e-02 1.777675347261194238e-03
8.710000000000000000e+02 1.419199999999999282e-02 1.765124406176054889e-03
8.720000000000000000e+02 1.401799999999999921e-02 1.752662078640272779e-03
8.730000000000000000e+02 1.480399999999999772e-02 1.740287739014613260e-03
8.740000000000000000e+02 1.473799999999999416e-02 1.728000766077056544e-03
8.750000000000000000e+02 1.432799999999999352e-02 1.715800542991596745e-03
8.760000000000000000e+02 1.479599999999999839e-02 1.703686457277286828e-03
8.770000000000000000e+02 1.539799999999999676e-02 1.691657900777486078e-03
8.780000000000000000e+02 1.483199999999999623e-02 1.679714269629323546e-03
